SUBJECT,COURSE,CRS_DTL_CD,SEC_NO,CRS_CREDIT,SEC_TRM_CD,MEETING_TYPE,SEC_ACTV_NO,SEC_NUM_LINKED_ACTV,DAYSMET,START_TIME,END_TIME,START_DATE,END_DATE,SEC_REL_TOT,SEC_ENR_TOT,MAX_ENROLLMENT,INSTRUCTOR_NAMES,SHORT_TITLE,LONG_TITLE,BUILDING,ROOM,CAPACITY,SEC_PUBL_FL,SEC_SES_YR,SEC_SES_CD,ADMIN_CAMPUS_CD,SEC_TYP_CD,REGISTRATION_STSTUAS,SECTION_STATUS,ACTIVITY_STATUS,CROSS_LISTED
ANTH,100A,A,002,3,2,LEC,1,2,MWF,11:00 AM,12:00 PM,01/04/2016,04/08/2016,100,95,100,"SHNEIDERMAN, SARA",INTRO CULT ANTH,Introduction to Cultural Anthropology,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
APSC,262,,201,3,2,LEC,1,1,T,11:00 AM,12:30 PM,01/04/2016,04/08/2016,35,33,35,"WINKELMAN, PAUL",TECHNLGY&SOC II,Technology and Society II,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,"APSC262-202,APSC262-203"
APSC,262,,202,3,2,LEC,1,1,T,11:00 AM,12:30 PM,01/04/2016,04/08/2016,35,28,35,"KANNANGARA, DHANESHWARIE; WINKELMAN, PAUL",TECHNLGY&SOC II,Technology and Society II,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,"APSC262-201,APSC262-203"
APSC,262,,203,3,2,LEC,1,1,T,11:00 AM,12:30 PM,01/04/2016,04/08/2016,35,17,35,"HITCH, MICHAEL; WINKELMAN, PAUL",TECHNLGY&SOC II,Technology and Society II,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,"APSC262-201,APSC262-202"
ARTH,101,,001,3,1,LEC,1,2,T,5:00 PM,7:00 PM,09/08/2015,12/04/2015,120,98,100,"SMITH, TAI LIN",WAYS OF SEEING,Ways of Seeing: Introduction to Visual Studies,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
ARTH,102,,001,3,2,LEC,1,2,MW,1:00 PM,2:00 PM,01/04/2016,04/08/2016,140,120,120,"CARR, GEOFFREY",CRISIS & CONTRAD,Crisis and Contradiction in Art and the Built Environment,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
ARTS,001A,A,00A,18,,LEC,1,2,M,10:00 AM,12:00 PM,09/08/2015,12/04/2015,100,96,100,"KEMPLE, THOMAS; KONOVAL, MICHAEL BRANDON; NAPPI, CARLA; PAUL, JOSEPH; ZEITLIN, MICHAEL","HERO, ANTI-HERO",Arts One,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
ARTS,001B,B,00B,18,,LEC,1,2,M,12:00 PM,2:00 PM,09/08/2015,12/04/2015,80,72,100,"CRAWFORD, ROBERT; HENDRICKS, CHRISTINA; LIEBLANG, JASON; MOTA, MIGUEL",SEEKING& KNOWING,Arts One,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
ASTU,202,,001,3,2,LEC,1,2,MW,3:00 PM,4:30 PM,01/04/2016,04/08/2016,99,85,130,"GLASSMAN, JAMES FRANCIS","CAN,JAPN&PC POLI","Canada, Japan and the Pacific: Political, Economic and Geographical Perspectives",IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,GEOG281-201
BIOL,153,,T01,7,,TUT,3,3,R,1:00 PM,2:00 PM,09/08/2015,04/08/2016,127,87,150,"HARRIS, ROBERT",HUMAN BIOLOGY,Human Biology,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
BIOL,458,,201,3,2,LEC,1,1,TR,8:00 AM,9:30 AM,01/04/2016,04/08/2016,150,124,130,"STEEVES, JOHN",DEVLPMT NEURBIOL,Developmental Neurobiology,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
ECON,101,,011,3,1,LEC,1,2,TR,9:30 AM,11:00 AM,09/08/2015,12/04/2015,125,118,125,"CHAPPLE, CLIVE",PRIN MICRO ECON,Principles of Microeconomics,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
ECON,102,,010,3,2,LEC,1,2,MWF,10:00 AM,11:00 AM,01/04/2016,04/08/2016,125,120,125,"MCINTYRE, GERALD",PRINCPL MACRECON,Principles of Macroeconomics,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
ECON,102,,011,3,2,LEC,1,2,TR,9:30 AM,11:00 AM,01/04/2016,04/08/2016,125,116,125,"FU, CHERYL",PRINCPL MACRECON,Principles of Macroeconomics,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
ENDS,281,,001,3,1,L-S,1,2,W,12:00 PM,2:00 PM,09/08/2015,12/04/2015,150,89,150,"MCKAY, SHERRY",ARCH CONTXT&CLTR,Architecture in Context and Across Cultures: A History,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
ENGL,110,,008,3,1,LEC,1,2,MW,2:00 PM,3:00 PM,09/08/2015,12/04/2015,1,132,150,"DEER, GLENN",INTRO LITERATURE,Approaches to Literature,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
GEOG,281,,201,3,2,LEC,1,2,MW,3:00 PM,4:30 PM,01/04/2016,04/08/2016,40,25,140,"GLASSMAN, JAMES FRANCIS",GEOG PACIFIC RIM,Geography of the Pacific Rim,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,ASTU202-001
HIST,103,,002,6,,LEC,1,2,R,11:00 AM,12:00 PM,01/04/2016,04/08/2016,154,148,150,"PETERSON, GLEN",HIST POST 1900,World History Since 1900,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
MATH,100,,V01,3,1,LEC,1,2,M,8:00 AM,9:00 AM,09/08/2015,12/04/2015,225,83,150,"LEUNG, FOK-SHUEN",DF CALC AP PH SC,Differential Calculus with Applications to Physical Sciences and Engineering,IBLC,182,154,Y,2015,W,UBC,REGU,Blocked,Complete,Scheduled,
MATH,101,,V01,3,2,LEC,1,2,M,8:00 AM,9:00 AM,01/04/2016,04/08/2016,225,74,150,"LEUNG, FOK-SHUEN",INT CALC AP PH S,Integral Calculus with Applications to Physical Sciences and Engineering,IBLC,182,154,Y,2015,W,UBC,REGU,Blocked,Complete,Scheduled,
MATH,217,,101,4,1,LEC,1,1,W,11:00 AM,12:00 PM,09/08/2015,12/04/2015,117,103,90,"COLLIANDER, JAMES",MLTVAR&VCTR CALC,Multivariable and Vector Calculus,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
MATH,256,,201,3,2,LEC,1,2,TR,2:00 PM,3:30 PM,01/04/2016,04/08/2016,135,136,120,"CYTRYNBAUM, ERIC",DIFF EQUATIONS,Differential equations,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
MECH,260,,T1B,3,1,TUT,2,2,W,10:00 AM,11:00 AM,09/08/2015,12/04/2015,128,118,120,"DE SILVA, CLARENCE WILFRED",MECH OF MATERIAL,Introduction to Mechanics of Materials,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
PHIL,220A,A,002,3,1,LEC,1,1,TR,11:00 AM,12:30 PM,09/08/2015,12/04/2015,120,64,100,"AYDEDE, MURAT",SYMBOLIC LOGIC I,Symbolic Logic I,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
PHIL,220A,A,005,3,2,LEC,1,1,MWF,12:00 PM,1:00 PM,01/04/2016,04/08/2016,100,88,120,"KOROLEV, ALEXANDRE",SYMBOLIC LOGIC I,Symbolic Logic I,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
PHIL,230A,A,002,3,1,LEC,1,1,TR,3:30 PM,5:00 PM,09/08/2015,12/04/2015,120,80,120,"GUINDON, BRUNO",MORAL & POLI I,Introduction to Moral Theory,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
PSYC,101,,002,3,1,LEC,1,1,MWF,9:00 AM,10:00 AM,09/08/2015,12/04/2015,125,123,125,"LAM, MARK",BIO COG PSYCH,Introduction to Biological and Cognitive Psychology,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
PSYC,102,,003,3,2,LEC,1,1,MWF,9:00 AM,10:00 AM,01/04/2016,04/08/2016,125,121,125,"LAM, MARK",DEV SOC CLI PSY,"Introduction to Developmental, Social, Personality, and Clinical Psychology",IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
PSYC,208,,901,3,2,LEC,1,1,T,5:00 PM,8:00 PM,01/04/2016,04/08/2016,150,81,151,"PERRINO, ANDREA","SOC, DEV, CLIN","Contemporary Topics in Social, Developmental, Personality, and Clinical Psychology",IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
PSYC,302,,002,3,1,LEC,1,1,TR,2:00 PM,3:30 PM,09/08/2015,12/04/2015,140,128,131,"WOJCIK, ERICA",INFANCY,Infancy,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
SOCI,240A,A,002,3,1,LEC,1,1,MWF,3:00 PM,4:00 PM,09/08/2015,12/04/2015,120,87,120,"KOLPASHNIKOVA, KAMILA",SOCL INTERACTION,Introduction to Social Interaction,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
VISA,110,,001,3,1,LEC,1,2,M,6:00 PM,7:00 PM,09/08/2015,12/04/2015,140,134,150,"D'ONOFRIO, CHRISTINE",DIG MEDIA STUDIO,Studio Three: Digital Media,IBLC,182,154,Y,2015,W,UBC,REGU,Blocked,Complete,Scheduled,
VISA,110,,227,3,1,LEC,1,2,M,5:00 PM,6:00 PM,09/08/2015,12/04/2015,100,94,100,"D'ONOFRIO, CHRISTINE",DIG MEDIA STUDIO,Studio Three: Digital Media,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
VISA,183,,002,3,2,LEC,1,2,T,1:00 PM,2:00 PM,01/04/2016,04/08/2016,120,86,120,"JAMES, GARETH",MEAN&MTRL STUDIO,Studio Two: Meanings and Materials,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
